Object_Number, X1, Y1, X2, Y2, Face_Area, Eye_Area_Ratio
477, 466, 191, 625, 350, 24964.00, 0.00
478, 461, 192, 624, 355, 26244.00, 0.15
479, 462, 194, 624, 356, 25921.00, 0.12
480, 458, 194, 624, 360, 27225.00, 0.11
481, 456, 195, 623, 362, 27556.00, 0.12
482, 453, 193, 625, 365, 29241.00, 0.11
483, 458, 196, 625, 363, 27556.00, 0.13
484, 457, 196, 624, 363, 27556.00, 0.13
485, 458, 196, 623, 361, 26896.00, 0.15
486, 458, 198, 622, 362, 26569.00, 0.15
487, 456, 197, 623, 364, 27556.00, 0.14
488, 457, 198, 621, 362, 26569.00, 0.14
489, 456, 196, 623, 363, 27556.00, 0.14
490, 454, 196, 621, 363, 27556.00, 0.14
491, 455, 196, 623, 364, 27889.00, 0.14
492, 454, 196, 623, 365, 28224.00, 0.14
493, 452, 196, 623, 367, 28900.00, 0.14
494, 452, 196, 623, 367, 28900.00, 0.14
495, 451, 196, 623, 368, 29241.00, 0.13
496, 451, 195, 624, 368, 29584.00, 0.14
497, 452, 196, 623, 367, 28900.00, 0.15
498, 450, 197, 622, 369, 29241.00, 0.13
499, 449, 196, 624, 371, 30276.00, 0.13
500, 448, 195, 624, 371, 30625.00, 0.13
501, 450, 197, 622, 369, 29241.00, 0.13
502, 452, 198, 622, 368, 28561.00, 0.14
503, 450, 198, 621, 369, 28900.00, 0.14
504, 448, 197, 621, 370, 29584.00, 0.13
